Date,Pageviews
01-08-2016,9843
02-08-2016,11784
03-08-2016,13724
04-08-2016,13326
05-08-2016,13585
06-08-2016,6926
07-08-2016,7239
08-08-2016,13179
09-08-2016,13411
10-08-2016,13003
11-08-2016,12860
12-08-2016,15583
13-08-2016,6387
14-08-2016,8074
15-08-2016,14754
16-08-2016,14311
17-08-2016,14028
18-08-2016,12710
19-08-2016,11557
20-08-2016,7776
21-08-2016,7610
22-08-2016,12934
23-08-2016,13005
24-08-2016,12850
25-08-2016,14374
26-08-2016,12163
27-08-2016,7924
28-08-2016,8593
29-08-2016,12270
30-08-2016,11794
31-08-2016,14788
01-09-2016,12935
02-09-2016,11190
03-09-2016,6531
04-09-2016,6419
05-09-2016,8422
06-09-2016,11355
07-09-2016,11203
08-09-2016,14680
09-09-2016,11998
10-09-2016,7531
11-09-2016,6628
12-09-2016,11350
13-09-2016,10718
14-09-2016,13148
15-09-2016,14877
16-09-2016,13261
17-09-2016,7383
18-09-2016,7887
19-09-2016,12711
20-09-2016,13322
21-09-2016,13944
22-09-2016,11877
23-09-2016,10783
24-09-2016,8646
25-09-2016,8112
26-09-2016,13931
27-09-2016,12601
28-09-2016,12325
29-09-2016,11900
30-09-2016,9695
01-10-2016,6123
02-10-2016,7555
03-10-2016,11954
04-10-2016,17601
05-10-2016,15572
06-10-2016,12810
07-10-2016,12647
08-10-2016,8586
09-10-2016,8412
10-10-2016,11707
11-10-2016,10794
12-10-2016,11316
13-10-2016,11653
14-10-2016,10043
15-10-2016,7168
16-10-2016,8488
17-10-2016,12238
18-10-2016,12010
19-10-2016,12070
20-10-2016,11685
21-10-2016,10840
22-10-2016,8983
23-10-2016,9029
24-10-2016,12465
25-10-2016,11787
26-10-2016,13380
27-10-2016,12704
28-10-2016,10886
29-10-2016,7469
30-10-2016,8305
31-10-2016,10386
01-11-2016,11147
02-11-2016,12028
03-11-2016,11966
04-11-2016,10303
05-11-2016,8605
06-11-2016,8592
07-11-2016,11996
08-11-2016,11857
09-11-2016,10744
10-11-2016,12482
11-11-2016,10702
12-11-2016,9029
13-11-2016,9753
14-11-2016,14229
15-11-2016,15274
16-11-2016,13676
17-11-2016,13002
18-11-2016,11050
19-11-2016,8900
20-11-2016,10704
21-11-2016,13449
22-11-2016,12004
23-11-2016,11971
24-11-2016,10930
25-11-2016,12167
26-11-2016,9549
27-11-2016,10398
28-11-2016,18483
29-11-2016,15166
30-11-2016,15172
01-12-2016,14755
02-12-2016,13371
03-12-2016,10170
04-12-2016,11120
05-12-2016,16723
06-12-2016,14641
07-12-2016,12748
08-12-2016,14224
09-12-2016,13382
10-12-2016,9693
11-12-2016,9906
12-12-2016,15971
13-12-2016,14099
14-12-2016,14387
15-12-2016,14154
16-12-2016,14181
17-12-2016,10429
18-12-2016,9367
19-12-2016,13803
20-12-2016,14052
21-12-2016,10929
22-12-2016,8713
23-12-2016,5724
24-12-2016,4451
25-12-2016,5596
26-12-2016,5864
27-12-2016,7537
28-12-2016,7778
29-12-2016,7087
30-12-2016,4812
31-12-2016,4118
01-01-2017,5362
02-01-2017,6283
03-01-2017,9459
04-01-2017,11525
05-01-2017,9412
06-01-2017,9079
07-01-2017,5739
08-01-2017,5999
09-01-2017,9458
10-01-2017,9310
11-01-2017,8298
12-01-2017,8918
13-01-2017,8595
14-01-2017,5707
15-01-2017,5851
16-01-2017,7436
17-01-2017,9899
18-01-2017,8975
19-01-2017,8812
20-01-2017,8532
21-01-2017,5988
22-01-2017,6763
23-01-2017,8945
24-01-2017,12753
25-01-2017,11382
26-01-2017,8975
27-01-2017,7875
28-01-2017,5729
29-01-2017,7181
30-01-2017,9943
31-01-2017,9525
01-02-2017,10185
02-02-2017,9379
03-02-2017,8028
04-02-2017,5889
05-02-2017,5761
06-02-2017,8580
07-02-2017,9642
08-02-2017,9291
09-02-2017,9511
10-02-2017,8273
11-02-2017,6580
12-02-2017,6752
13-02-2017,8656
14-02-2017,9617
15-02-2017,9553
16-02-2017,9446
17-02-2017,9783
18-02-2017,6192
19-02-2017,7791
20-02-2017,8392
21-02-2017,9368
22-02-2017,9780
23-02-2017,9752
24-02-2017,8419
25-02-2017,5687
26-02-2017,6071
27-02-2017,8578
28-02-2017,8417
01-03-2017,9227
02-03-2017,9337
03-03-2017,8183
04-03-2017,8126
05-03-2017,7002
06-03-2017,9331
07-03-2017,10103
08-03-2017,8978
09-03-2017,8563
10-03-2017,8506
11-03-2017,5716
12-03-2017,6127
13-03-2017,9933
14-03-2017,8550
15-03-2017,10023
16-03-2017,8256
17-03-2017,7942
18-03-2017,6296
19-03-2017,6160
20-03-2017,9408
21-03-2017,9050
22-03-2017,9638
