finaldate,transactions
2016 -08,24
2016 -08,48
2016 -08,17
2016 -08,10
2016 -08,28
2016 -08,58
2016 -08,78
2016 -08,42
2016 -08,36
2016 -08,
2016 -08,73
2016 -08,65
2016 -08,57
2016 -08,63
2016 -08,26
2016 -08,36
2016 -08,68
2016 -08,46
2016 -08,15
2016 -08,63
2016 -08,22
2016 -08,44
2016 -08,37
2016 -08,56
2016 -08,18
2016 -08,43
2016 -08,51
2016 -08,49
2016 -08,18
2016 -08,34
2016 -08,16
2016 -09,26
2016 -09,43
2016 -09,40
2016 -09,32
2016 -09,38
2016 -09,13
2016 -09,40
2016 -09,44
2016 -09,26
2016 -09,28
2016 -09,8
2016 -09,24
2016 -09,44
2016 -09,39
2016 -09,44
2016 -09,32
2016 -09,13
2016 -09,10
2016 -09,48
2016 -09,36
2016 -09,17
2016 -09,52
2016 -09,40
2016 -09,33
2016 -09,17
2016 -09,15
2016 -09,37
2016 -09,33
2016 -09,14
2016 -09,18
2016 -10,40
2016 -10,31
2016 -10,37
2016 -10,22
2016 -10,32
2016 -10,47
2016 -10,35
2016 -10,14
2016 -10,34
2016 -10,21
2016 -10,33
2016 -10,33
2016 -10,39
2016 -10,12
2016 -10,45
2016 -10,6
2016 -10,20
2016 -10,29
2016 -10,25
2016 -10,41
2016 -10,45
2016 -10,10
2016 -10,22
2016 -10,38
2016 -10,28
2016 -10,32
2016 -10,11
2016 -10,36
2016 -10,43
2016 -10,17
2016 -10,41
2016 -11,33
2016 -11,16
2016 -11,25
2016 -11,16
2016 -11,38
2016 -11,47
2016 -11,73
2016 -11,32
2016 -11,37
2016 -11,37
2016 -11,23
2016 -11,41
2016 -11,15
2016 -11,58
2016 -11,35
2016 -11,34
2016 -11,21
2016 -11,13
2016 -11,33
2016 -11,20
2016 -11,42
2016 -11,53
2016 -11,17
2016 -11,48
2016 -11,13
2016 -11,29
2016 -11,28
2016 -11,18
2016 -11,21
2016 -11,39
2016 -12,33
2016 -12,15
2016 -12,36
2016 -12,22
2016 -12,22
2016 -12,20
2016 -12,85
2016 -12,36
2016 -12,71
2016 -12,68
2016 -12,67
2016 -12,19
2016 -12,70
2016 -12,51
2016 -12,76
2016 -12,50
2016 -12,13
2016 -12,18
2016 -12,38
2016 -12,75
2016 -12,45
2016 -12,43
2016 -12,79
2016 -12,56
2016 -12,17
2016 -12,10
2016 -12,41
2016 -12,71
2016 -12,89
2016 -12,88
2016 -12,26
2017 -01,39
2017 -01,38
2017 -01,23
2017 -01,11
2017 -01,18
2017 -01,22
2017 -01,22
2017 -01,11
2017 -01,4
2017 -01,34
2017 -01,34
2017 -01,11
2017 -01,6
2017 -01,20
2017 -01,11
2017 -01,32
2017 -01,32
2017 -01,19
2017 -01,18
2017 -01,41
2017 -01,13
2017 -01,8
2017 -01,28
2017 -01,28
2017 -01,41
2017 -01,28
2017 -01,27
2017 -01,31
2017 -01,27
2017 -01,10
2017 -01,26
2017 -02,12
2017 -02,25
2017 -02,27
2017 -02,24
2017 -02,24
2017 -02,12
2017 -02,23
2017 -02,36
2017 -02,22
2017 -02,34
2017 -02,21
2017 -02,14
2017 -02,32
2017 -02,69
2017 -02,9
2017 -02,51
2017 -02,30
2017 -02,13
2017 -02,30
2017 -02,29
2017 -02,29
2017 -02,10
2017 -02,28
2017 -02,17
2017 -02,32
2017 -02,27
2017 -02,27
2017 -02,26
2017 -03,12
2017 -03,39
2017 -03,25
2017 -03,42
2017 -03,38
2017 -03,23
2017 -03,36
2017 -03,35
2017 -03,34
2017 -03,14
2017 -03,33
2017 -03,32
2017 -03,80
2017 -03,32
2017 -03,14
2017 -03,13
2017 -03,31
2017 -03,31
2017 -03,30
2017 -03,30
2017 -03,50
2017 -03,18
2017 -03,29
2017 -03,46
2017 -03,17
2017 -03,44
2017 -03,27
2017 -03,42
2017 -03,30
2017 -03,26
2017 -03,40
2017 -04,39
2017 -04,39
2017 -04,16
2017 -04,38
2017 -04,38
2017 -04,25
2017 -04,37
2017 -04,37
2017 -04,7
2017 -04,15
2017 -04,36
2017 -04,14
2017 -04,33
2017 -04,20
2017 -04,63
2017 -04,18
2017 -04,49
2017 -04,48
2017 -04,29
2017 -04,44
2017 -04,44
2017 -04,43
2017 -04,43
2017 -04,42
2017 -04,27
2017 -04,12
2017 -04,41
2017 -04,12
2017 -04,40
2017 -04,10
2017 -05,25
2017 -05,16
2017 -05,37
2017 -05,23
2017 -05,11
2017 -05,36
2017 -05,36
2017 -05,22
2017 -05,35
2017 -05,35
2017 -05,9
2017 -05,33
2017 -05,78
2017 -05,74
2017 -05,70
2017 -05,10
2017 -05,31
2017 -05,54
2017 -05,54
2017 -05,53
2017 -05,53
2017 -05,30
2017 -05,18
2017 -05,49
2017 -05,47
2017 -05,46
2017 -05,41
2017 -05,41
2017 -05,41
2017 -05,12
2017 -05,40
2017 -06,38
2017 -06,37
2017 -06,37
2017 -06,15
2017 -06,36
2017 -06,15
2017 -06,36
2017 -06,36
2017 -06,36
2017 -06,36
2017 -06,35
2017 -06,35
2017 -06,34
2017 -06,32
2017 -06,19
2017 -06,31
2017 -06,61
2017 -06,18
2017 -06,10
2017 -06,13
2017 -06,29
2017 -06,29
2017 -06,48
2017 -06,29
2017 -06,46
2017 -06,45
2017 -06,28
2017 -06,41
2017 -06,40
2017 -06,26
2017 -07,38
2017 -07,15
2017 -07,22
2017 -07,14
2017 -07,7
2017 -07,19
2017 -07,19
2017 -07,65
2017 -07,62
2017 -07,57
2017 -07,53
2017 -07,52
2017 -07,51
2017 -07,31
2017 -07,18
2017 -07,49
2017 -07,47
2017 -07,47
2017 -07,46
2017 -07,28
2017 -07,16
2017 -07,42
2017 -07,42
2017 -07,42
2017 -07,42
2017 -07,41
2017 -07,40
2017 -07,40
2017 -07,16
2017 -07,8
2017 -07,3
2017 -08,45
